max_depth	min_split	vminbucket	vcp	ganancia_promedio
6	80	20	-0.1	48170000
6	80	26.6666666666667	-0.1	47900000
6	80	40	-0.1	48758000
6	80	10	-0.1	47498000
6	80	5	-0.1	47626000
6	80	2	-0.1	47928000
6	80	20	0	35842000
6	80	26.6666666666667	0	35842000
6	80	40	0	35842000
6	80	10	0	37448000
6	80	5	0	36930000
6	80	2	0	42146000
6	160	40	-0.5	49288000
6	160	53.3333333333333	-0.5	50204000
6	160	80	-0.5	51106000
6	160	10	-0.5	47730000
6	160	5	-0.5	47822000
6	160	2	-0.5	48100000
6	160	40	-0.3	49288000
6	160	53.3333333333333	-0.3	50204000
6	160	80	-0.3	51106000
6	160	10	-0.3	47730000
6	160	5	-0.3	47822000
6	160	2	-0.3	48100000
6	160	40	-0.1	49288000
6	160	53.3333333333333	-0.1	50204000
6	160	80	-0.1	51106000
6	160	10	-0.1	47730000
6	160	5	-0.1	47822000
6	160	2	-0.1	48100000
6	160	40	0	12724000
6	160	53.3333333333333	0	6444000
6	160	80	0	0
6	160	10	0	12724000
6	160	5	0	27640000
6	160	2	0	40690000
6	320	80	-0.5	51168000
6	320	106.666666666667	-0.5	51316000
6	320	160	-0.5	50970000
6	320	10	-0.5	47728000
6	320	5	-0.5	47738000
6	320	2	-0.5	48016000
6	320	80	-0.3	51168000
6	320	106.666666666667	-0.3	51316000
6	320	160	-0.3	50970000
6	320	10	-0.3	47728000
6	320	5	-0.3	47738000
6	320	2	-0.3	48016000
6	320	80	-0.1	51168000
6	320	106.666666666667	-0.1	51316000
6	320	160	-0.1	50970000
6	320	10	-0.1	47728000
6	320	5	-0.1	47738000
6	320	2	-0.1	48016000
6	320	80	0	0
6	320	106.666666666667	0	0
6	320	160	0	0
6	320	10	0	6280000
6	320	5	0	27688000
6	320	2	0	40690000
6	640	160	-0.5	50376000
6	640	213.333333333333	-0.5	51078000
6	640	320	-0.5	50964000
6	640	10	-0.5	47768000
6	640	5	-0.5	47724000
6	640	2	-0.5	48094000
6	640	160	-0.3	50376000
6	640	213.333333333333	-0.3	51078000
6	640	320	-0.3	50964000
6	640	10	-0.3	47768000
6	640	5	-0.3	47724000
6	640	2	-0.3	48094000
6	640	160	-0.1	50376000
6	640	213.333333333333	-0.1	51078000
6	640	320	-0.1	50964000
6	640	10	-0.1	47768000
6	640	5	-0.1	47724000
6	640	2	-0.1	48094000
6	640	160	0	0
6	640	213.333333333333	0	0
6	640	320	0	0
6	640	10	0	0
6	640	5	0	27688000
6	640	2	0	40024000
8	10	2.5	-0.5	44832000
8	10	3.33333333333333	-0.5	44788000
8	10	5	-0.5	43162000
8	10	10	-0.5	44314000
8	10	5	-0.5	43162000
8	10	2	-0.5	44832000
8	10	2.5	-0.3	44832000
8	10	3.33333333333333	-0.3	44788000
8	10	5	-0.3	43162000
8	10	10	-0.3	44314000
8	10	5	-0.3	43162000
8	10	2	-0.3	44832000
8	10	2.5	-0.1	44832000
8	10	3.33333333333333	-0.1	44788000
8	10	5	-0.1	43162000
8	10	10	-0.1	44314000
8	10	5	-0.1	43162000
8	10	2	-0.1	44832000
8	10	2.5	0	45948000
8	10	3.33333333333333	0	46190000
8	10	5	0	45462000
8	10	10	0	45078000
8	10	5	0	45462000
8	10	2	0	45948000
8	20	5	-0.5	43916000
8	20	6.66666666666667	-0.5	44196000
8	20	10	-0.5	44314000
8	20	10	-0.5	44314000
8	20	5	-0.5	43916000
8	20	2	-0.5	45264000
8	20	5	-0.3	43916000
8	20	6.66666666666667	-0.3	44196000
8	20	10	-0.3	44314000
8	20	10	-0.3	44314000
8	20	5	-0.3	43916000
8	20	2	-0.3	45264000
8	20	5	-0.1	43916000
8	20	6.66666666666667	-0.1	44196000
8	20	10	-0.1	44314000
8	20	10	-0.1	44314000
8	20	5	-0.1	43916000
8	20	2	-0.1	45264000
8	20	5	0	45270000
8	20	6.66666666666667	0	45680000
8	20	10	0	45078000
8	20	10	0	45078000
8	20	5	0	45270000
8	20	2	0	46314000
8	40	10	-0.5	45102000
8	40	13.3333333333333	-0.5	46410000
8	40	20	-0.5	47224000
8	40	10	-0.5	45102000
8	40	5	-0.5	44564000
8	40	2	-0.5	45608000
8	40	10	-0.3	45102000
8	40	13.3333333333333	-0.3	46410000
8	40	20	-0.3	47224000
8	40	10	-0.3	45102000
8	40	5	-0.3	44564000
8	40	2	-0.3	45608000
8	40	10	-0.1	45102000
8	40	13.3333333333333	-0.1	46410000
8	40	20	-0.1	47224000
8	40	10	-0.1	45102000
8	40	5	-0.1	44564000
8	40	2	-0.1	45608000
8	40	10	0	45564000
8	40	13.3333333333333	0	43598000
8	40	20	0	39920000
8	40	10	0	45564000
8	40	5	0	45680000
8	40	2	0	46604000
8	80	20	-0.5	47728000
8	80	26.6666666666667	-0.5	46438000
8	80	40	-0.5	45404000
8	80	10	-0.5	46526000
8	80	5	-0.5	45446000
8	80	2	-0.5	46570000
8	80	20	-0.3	47728000
8	80	26.6666666666667	-0.3	46438000
8	80	40	-0.3	45404000
8	80	10	-0.3	46526000
8	80	5	-0.3	45446000
8	80	2	-0.3	46570000
8	80	20	-0.1	47728000
8	80	26.6666666666667	-0.1	46438000
8	80	40	-0.1	45404000
8	80	10	-0.1	46526000
8	80	5	-0.1	45446000
8	80	2	-0.1	46570000
8	80	20	0	35814000
8	80	26.6666666666667	0	35842000
8	80	40	0	35842000
8	80	10	0	37420000
8	80	5	0	39364000
8	80	2	0	45160000
8	160	40	-0.5	47570000
8	160	53.3333333333333	-0.5	48384000
8	160	80	-0.5	47802000
8	160	10	-0.5	47516000
8	160	5	-0.5	46506000
8	160	2	-0.5	47546000
8	160	40	-0.3	47570000
8	160	53.3333333333333	-0.3	48384000
8	160	80	-0.3	47802000
8	160	10	-0.3	47516000
8	160	5	-0.3	46506000
8	160	2	-0.3	47546000
8	160	40	-0.1	47570000
8	160	53.3333333333333	-0.1	48384000
8	160	80	-0.1	47802000
8	160	10	-0.1	47516000
8	160	5	-0.1	46506000
8	160	2	-0.1	47546000
8	160	40	0	12724000
8	160	53.3333333333333	0	6444000
8	160	80	0	0
8	160	10	0	12724000
8	160	5	0	37844000
8	160	2	0	43554000
8	320	80	-0.5	48318000
8	320	106.666666666667	-0.5	47874000
8	320	160	-0.5	50282000
8	320	10	-0.5	47634000
8	320	5	-0.5	46384000
8	320	2	-0.5	47460000
8	320	80	-0.3	48318000
8	320	106.666666666667	-0.3	47874000
8	320	160	-0.3	50282000
8	320	10	-0.3	47634000
8	320	5	-0.3	46384000
8	320	2	-0.3	47460000
8	320	80	-0.1	48318000
8	320	106.666666666667	-0.1	47874000
8	320	160	-0.1	50282000
8	320	10	-0.1	47634000
8	320	5	-0.1	46384000
8	320	2	-0.1	47460000
8	320	80	0	0
8	320	106.666666666667	0	0
8	320	160	0	0
8	320	10	0	6280000
8	320	5	0	37892000
8	320	2	0	43456000
8	640	160	-0.5	49748000
8	640	213.333333333333	-0.5	50068000
8	640	320	-0.5	50434000
8	640	10	-0.5	48248000
8	640	5	-0.5	48154000
8	640	2	-0.5	48082000
8	640	160	-0.3	49748000
8	640	213.333333333333	-0.3	50068000
8	640	320	-0.3	50434000
8	640	10	-0.3	48248000
8	640	5	-0.3	48154000
8	640	2	-0.3	48082000
8	640	160	-0.1	49748000
8	640	213.333333333333	-0.1	50068000
8	640	320	-0.1	50434000
8	640	10	-0.1	48248000
8	640	5	-0.1	48154000
8	640	2	-0.1	48082000
8	640	160	0	0
8	640	213.333333333333	0	0
8	640	320	0	0
8	640	10	0	0
8	640	5	0	37892000
8	640	2	0	42342000
10	10	2.5	-0.5	41430000
10	10	3.33333333333333	-0.5	40156000
10	10	5	-0.5	37498000
10	10	10	-0.5	38794000
10	10	5	-0.5	37498000
10	10	2	-0.5	41430000
10	10	2.5	-0.3	41430000
10	10	3.33333333333333	-0.3	40156000
10	10	5	-0.3	37498000
10	10	10	-0.3	38794000
10	10	5	-0.3	37498000
10	10	2	-0.3	41430000
10	10	2.5	-0.1	41430000
10	10	3.33333333333333	-0.1	40156000
10	10	5	-0.1	37498000
10	10	10	-0.1	38794000
10	10	5	-0.1	37498000
10	10	2	-0.1	41430000
10	10	2.5	0	43566000
10	10	3.33333333333333	0	43648000
10	10	5	0	43498000
10	10	10	0	44602000
10	10	5	0	43498000
10	10	2	0	43566000
10	20	5	-0.5	39782000
10	20	6.66666666666667	-0.5	40924000
10	20	10	-0.5	38794000
10	20	10	-0.5	38794000
10	20	5	-0.5	39782000
10	20	2	-0.5	43290000
10	20	5	-0.3	39782000
10	20	6.66666666666667	-0.3	40924000
10	20	10	-0.3	38794000
10	20	10	-0.3	38794000
10	20	5	-0.3	39782000
10	20	2	-0.3	43290000
10	20	5	-0.1	39782000
10	20	6.66666666666667	-0.1	40924000
10	20	10	-0.1	38794000
10	20	10	-0.1	38794000
10	20	5	-0.1	39782000
10	20	2	-0.1	43290000
10	20	5	0	45094000
10	20	6.66666666666667	0	45534000
10	20	10	0	44602000
10	20	10	0	44602000
10	20	5	0	45094000
10	20	2	0	45842000
10	40	10	-0.5	40982000
10	40	13.3333333333333	-0.5	41222000
10	40	20	-0.5	42192000
10	40	10	-0.5	40982000
10	40	5	-0.5	41926000
10	40	2	-0.5	44370000
10	40	10	-0.3	40982000
10	40	13.3333333333333	-0.3	41222000
10	40	20	-0.3	42192000
10	40	10	-0.3	40982000
10	40	5	-0.3	41926000
10	40	2	-0.3	44370000
10	40	10	-0.1	40982000
10	40	13.3333333333333	-0.1	41222000
10	40	20	-0.1	42192000
10	40	10	-0.1	40982000
10	40	5	-0.1	41926000
10	40	2	-0.1	44370000
10	40	10	0	45792000
10	40	13.3333333333333	0	43970000
10	40	20	0	39562000
10	40	10	0	45792000
10	40	5	0	46504000
10	40	2	0	45964000
10	80	20	-0.5	42670000
10	80	26.6666666666667	-0.5	41672000
10	80	40	-0.5	42462000
10	80	10	-0.5	44468000
10	80	5	-0.5	44312000
10	80	2	-0.5	46340000
10	80	20	-0.3	42670000
10	80	26.6666666666667	-0.3	41672000
10	80	40	-0.3	42462000
10	80	10	-0.3	44468000
10	80	5	-0.3	44312000
10	80	2	-0.3	46340000
10	80	20	-0.1	42670000
10	80	26.6666666666667	-0.1	41672000
10	80	40	-0.1	42462000
10	80	10	-0.1	44468000
10	80	5	-0.1	44312000
10	80	2	-0.1	46340000
10	80	20	0	35576000
10	80	26.6666666666667	0	35842000
10	80	40	0	35842000
10	80	10	0	39300000
10	80	5	0	42868000
10	80	2	0	46960000
10	160	40	-0.5	45834000
10	160	53.3333333333333	-0.5	45916000
10	160	80	-0.5	45336000
10	160	10	-0.5	46258000
10	160	5	-0.5	46258000
10	160	2	-0.5	47794000
10	160	40	-0.3	45834000
10	160	53.3333333333333	-0.3	45916000
10	160	80	-0.3	45336000
10	160	10	-0.3	46258000
10	160	5	-0.3	46258000
10	160	2	-0.3	47794000
10	160	40	-0.1	45834000
10	160	53.3333333333333	-0.1	45916000
10	160	80	-0.1	45336000
10	160	10	-0.1	46258000
10	160	5	-0.1	46258000
10	160	2	-0.1	47794000
10	160	40	0	12724000
10	160	53.3333333333333	0	6444000
10	160	80	0	0
10	160	10	0	12724000
10	160	5	0	38642000
10	160	2	0	45506000
10	320	80	-0.5	47234000
10	320	106.666666666667	-0.5	46374000
10	320	160	-0.5	47216000
10	320	10	-0.5	46308000
10	320	5	-0.5	46238000
10	320	2	-0.5	47664000
10	320	80	-0.3	47234000
10	320	106.666666666667	-0.3	46374000
10	320	160	-0.3	47216000
10	320	10	-0.3	46308000
10	320	5	-0.3	46238000
10	320	2	-0.3	47664000
10	320	80	-0.1	47234000
10	320	106.666666666667	-0.1	46374000
10	320	160	-0.1	47216000
10	320	10	-0.1	46308000
10	320	5	-0.1	46238000
10	320	2	-0.1	47664000
10	320	80	0	0
10	320	106.666666666667	0	0
10	320	160	0	0
10	320	10	0	6280000
10	320	5	0	38682000
10	320	2	0	45452000
10	640	160	-0.5	48446000
10	640	213.333333333333	-0.5	49192000
10	640	320	-0.5	49468000
10	640	10	-0.5	47576000
10	640	5	-0.5	48198000
10	640	2	-0.5	48684000
10	640	160	-0.3	48446000
10	640	213.333333333333	-0.3	49192000
10	640	320	-0.3	49468000
10	640	10	-0.3	47576000
10	640	5	-0.3	48198000
10	640	2	-0.3	48684000
